feature,n,borderline_mean,borderline_std,borderline_median
vein_len_p75,12,27.854428072770435,16.710812143286226,21.316691398620605
vein_len_p90,12,41.23170274098715,15.559679266515687,36.14188060760499
vein_len_sd,12,16.425755898157757,4.766166411272068,15.171203136444092
vein_len_skew,12,1.8889148879097775,1.3656575317503432,1.6569653153419495
vein_max_degree,12,7.0,1.0,7.0
vein_mean_HU,12,-60.42159835497538,215.2587711453341,-20.08936977386475
vein_mean_degree,12,3.261307524682943,0.5320615963659813,3.5258628417749893
vein_n_branches,12,62.916666666666664,68.6275677520015,41.0
vein_n_edges,12,290.3333333333333,280.790352794077,203.0
vein_n_nodes,12,163.58333333333334,143.82307321458853,137.0
vein_p95_HU,12,278.3333333333333,114.36369859162284,283.0
vein_persH0_max,12,61.13664930544268,27.23466134120234,52.82631724805255
vein_persH0_n_pairs,12,499.0,0.0,499.0
vein_persH0_total,12,10096.819748117443,2981.6347116841116,10124.645053395261
vein_persH1_max,12,43.793496479455065,19.080316536133825,38.560920672542395
vein_persH1_n_loops,12,164.33333333333334,19.00584705353124,168.5
vein_persH1_total,12,1107.6748519210523,370.1755994097073,1210.3011464064275
vein_tort_kurt,12,14.462135990460714,24.21582479993366,7.285449028015137
vein_tort_mean,12,1.196133961280187,0.051486698851151945,1.1826565265655518
vein_tort_p10,12,1.0425769021113713,0.048112377010422605,1.0176112532615662
vein_tort_p25,12,1.0852434933185577,0.04340818662176099,1.0698756277561188
vein_tort_p50,12,1.1526587655146916,0.04071818456542791,1.1442396938800812
vein_tort_p75,12,1.24409065892299,0.061857395362170824,1.2238954305648804
vein_tort_p90,12,1.3819579511880875,0.09622849475992253,1.3369082808494572
vein_tort_sd,12,0.18381915924449757,0.058745584212558016,0.16169235855340955
vein_tort_skew,12,2.6800425549348197,1.9807376474146383,2.1641067266464233
vein_tortuosity_proxy,12,1.6570873985988495,0.2466428186458535,1.7751568039269157
vein_total_len_mm,12,2039.860580444336,1297.401915349859,2010.598876953125
