feature,category,n_total,n_missing,missing_frac,n_finite,std,n_unique,near_zero_sd,constant
vein_diam_sd,3_diameter_length_distribution,290,0,0.0,290,1.7194038349268155,290,False,False
vein_diam_skew,3_diameter_length_distribution,290,0,0.0,290,0.9230249953986065,290,False,False
vein_len_kurt,3_diameter_length_distribution,290,0,0.0,290,20.35688723805968,290,False,False
vein_len_mean,3_diameter_length_distribution,290,0,0.0,290,5.063215548899599,290,False,False
vein_len_p10,3_diameter_length_distribution,290,0,0.0,290,2.167035396574892,268,False,False
vein_len_p25,3_diameter_length_distribution,290,0,0.0,290,2.9862345659082994,278,False,False
vein_len_p50,3_diameter_length_distribution,290,0,0.0,290,4.846169616724161,286,False,False
vein_len_p75,3_diameter_length_distribution,290,0,0.0,290,7.291048591006643,290,False,False
vein_len_p90,3_diameter_length_distribution,290,0,0.0,290,9.672667637310372,290,False,False
vein_len_sd,3_diameter_length_distribution,290,0,0.0,290,4.313884837678392,290,False,False
vein_len_skew,3_diameter_length_distribution,290,0,0.0,290,1.5384851265250004,290,False,False
vein_max_degree,2_branching_topology,290,0,0.0,290,1.0250647131521131,3,False,False
vein_mean_degree,2_branching_topology,290,0,0.0,290,0.2873434133731187,255,False,False
vein_n_branches,2_branching_topology,290,0,0.0,290,74.89278093515377,146,False,False
vein_n_edges,1_basic_graph_size,290,0,0.0,290,303.3076067416739,196,False,False
vein_n_nodes,1_basic_graph_size,290,0,0.0,290,153.0733063200234,189,False,False
vein_tort_kurt,3_diameter_length_distribution,290,0,0.0,290,14.62970967333439,290,False,False
vein_tort_mean,3_diameter_length_distribution,290,0,0.0,290,0.036453401364734676,290,False,False
vein_tort_p10,3_diameter_length_distribution,290,0,0.0,290,0.02705377803782706,114,False,False
vein_tort_p25,3_diameter_length_distribution,290,0,0.0,290,0.03369416164529446,263,False,False
vein_tort_p50,3_diameter_length_distribution,290,0,0.0,290,0.036185320087969826,288,False,False
vein_tort_p75,3_diameter_length_distribution,290,0,0.0,290,0.039102776918303724,290,False,False
vein_tort_p90,3_diameter_length_distribution,290,0,0.0,290,0.0712985997035225,290,False,False
vein_tort_sd,3_diameter_length_distribution,290,0,0.0,290,0.057763430257598634,290,False,False
vein_tort_skew,3_diameter_length_distribution,290,0,0.0,290,1.4762968551096507,290,False,False
vein_tortuosity_proxy,3_diameter_length_distribution,290,0,0.0,290,0.13647272332308583,273,False,False
vein_total_len_mm,3_diameter_length_distribution,290,0,0.0,290,1214.5990953268422,290,False,False
vein_total_vol_proxy_mm3,1_basic_graph_size,290,0,0.0,290,47318.75508938776,290,False,False
airway_branch_per_node_legR17,2_branching_topology,290,78,0.2689655172413793,212,0.09414628173903301,134,False,False
airway_diam_kurt_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,9.081192191663376,204,False,False
airway_diam_mean_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,1.415065485379044,204,False,False
airway_diam_p10_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,0.28219669242937945,130,False,False
airway_diam_p25_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,0.4876782959291017,140,False,False
airway_diam_p50_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,0.8686795977115226,155,False,False
airway_diam_p75_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,1.6887900232889974,178,False,False
airway_diam_p90_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,3.0272592778846334,200,False,False
airway_diam_sd_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,1.8494875452748392,204,False,False
airway_diam_skew_legR17,3_diameter_length_distribution,290,86,0.296551724137931,204,1.089190499014072,204,False,False
airway_lap_eig0_legR17,2_branching_topology,290,78,0.2689655172413793,212,0.005447388706605944,194,False,False
airway_lap_eig1_legR17,2_branching_topology,290,78,0.2689655172413793,212,0.004753201585006635,197,False,False
