cluster_method,variable,type,test,stat,pvalue,n,n_groups
gmm_k3,肺血管容积(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺血管容积密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺血管血管分支数量_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺血管分支密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺血管BV5(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺小血管密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺血管BV10(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺血管BV10+(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,动脉容+BG:BV积(ml),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺动脉容积密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,动脉血管分支数量_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,动脉分支密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,动脉BV5(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,小动脉密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,动脉BV10(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,动脉BV10+(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,静脉容积(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,肺静脉容积密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,静脉血管分支数量_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,静脉分支密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,静脉BV5(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,小静脉密度,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,静脉BV10(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,静脉BV10+(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,VCMAX预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,VCMAX实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FVC预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FVC实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FVC%,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FEV1预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FEV1实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FEV1实预,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FEV1FVC实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FEV1FVC预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,PEF预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,PEF实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MEF75预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MEF75实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MEF50预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MEF50实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MEF25实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MEF7525预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MEF7525实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MEF7525实预,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MVV预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,MVV实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FEV130预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FEV130实测值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,FEV130实预,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,IC预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,ERV预计值,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,Sex,numeric,kruskal,2.680570409982198,0.26177099953724725,89,3
gmm_k3,动脉(右上肺叶)最小密度(HU),numeric,kruskal,2.669682798556862,0.26319991584248303,95,3
gmm_k3,动脉(右下肺叶)弯曲度,numeric,kruskal,2.6032815878596574,0.2720849911774442,95,3
gmm_k3,左右肺肺组织体积(ml),numeric,kruskal,2.5913459538173242,0.27371359940339396,95,3
gmm_k3,左右肺质量(g),numeric,kruskal,2.5913459538173242,0.27371359940339396,95,3
gmm_k3,左肺肺组织体积(ml)_y,numeric,kruskal,2.5668057866999447,0.27709277713992836,95,3
gmm_k3,左肺质量(g)_y,numeric,kruskal,2.5668057866999447,0.27709277713992836,95,3
gmm_k3,动脉(右下肺叶)最小密度(HU),numeric,kruskal,2.5666898659133137,0.2771088380117191,95,3
