feature,rho,p,boot_lo,boot_hi,n,abs_rho,p_holm,holm_significant
artery_tort_p25,-0.10860200681860932,0.2772463595616488,-0.29387179938495617,0.09627064123059344,102,0.10860200681860932,1.0,False
vein_len_p10,-0.10490968898244021,0.2940048298877047,-0.29239636157940313,0.08701916094404796,102,0.10490968898244021,1.0,False
vein_tort_p75,-0.09151068458647317,0.3603263850702514,-0.2636149987799578,0.10935270042964436,102,0.09151068458647317,1.0,False
vein_branch_per_node,0.07728675964320941,0.44005885570129566,-0.1113842117568142,0.2527057107701031,102,0.07728675964320941,1.0,False
artery_total_len_mm,0.07575814975133183,0.4491825643634176,-0.11064522125452946,0.27246864768952095,102,0.07575814975133183,1.0,False
vein_diam_mean,0.07361933575431909,0.4621239364995276,-0.10043845458713131,0.2604875127399431,102,0.07361933575431909,1.0,False
vein_total_len_mm,-0.07103352094840687,0.4780399155583385,-0.26847087133138553,0.11115622607775939,102,0.07103352094840687,1.0,False
vein_tort_kurt,0.0704903300920227,0.48142042705851107,-0.13328313475662898,0.2596803188104814,102,0.0704903300920227,1.0,False
vein_mean_degree,0.07046686031517359,0.4815667778451979,-0.12068748205635194,0.24535338951735325,102,0.07046686031517359,1.0,False
artery_tort_sd,0.07011122814017123,0.48378731310834694,-0.13080295952638296,0.26025493000947536,102,0.07011122814017123,1.0,False
vein_tortuosity_proxy,0.06945546162605597,0.48789616413670744,-0.1252232189747779,0.24574534830068406,102,0.06945546162605597,1.0,False
vein_tort_p90,-0.06912103647488756,0.489998696782808,-0.2563279168425961,0.11940388168926644,102,0.06912103647488756,1.0,False
vein_tort_skew,0.06768950223879174,0.49905275468755533,-0.13191872402847948,0.2493577061632806,102,0.06768950223879174,1.0,False
artery_branch_per_node,0.06331163695370982,0.5272755714336655,-0.1239668540922986,0.2619179325446579,102,0.06331163695370982,1.0,False
artery_max_degree,-0.05920282062886782,0.5544742609553277,-0.2717464381140773,0.1357247536571607,102,0.05920282062886782,1.0,False
artery_tort_skew,-0.05881738491785005,0.5570599378289991,-0.2439695742406189,0.12809599366866092,102,0.05881738491785005,1.0,False
artery_mean_degree,0.05529339689370863,0.5809647888702355,-0.13248188238028138,0.24598731989347636,102,0.05529339689370863,1.0,False
vein_n_branches,0.05441967834626816,0.5869639492661641,-0.13506399543306208,0.24026678739431817,102,0.05441967834626816,1.0,False
artery_tort_mean,0.04836096093245448,0.6293195799183728,-0.16969116914267737,0.2626790141058933,102,0.04836096093245448,1.0,False
artery_tortuosity_proxy,0.04625083041396183,0.6443676818681385,-0.1399415549190611,0.2339392371620543,102,0.04625083041396183,1.0,False
vein_diam_p90,0.04604108331664702,0.6458714688699791,-0.12333382913346799,0.23154241131042522,102,0.04604108331664702,1.0,False
artery_len_sd,-0.04479627093743327,0.654825368616539,-0.24814589988653749,0.15536797491468077,102,0.04479627093743327,1.0,False
vein_diam_p10,0.043993298650079456,0.6606272794904232,-0.1644500096184827,0.25276124524467086,102,0.043993298650079456,1.0,False
artery_diam_p10,0.038283082791062406,0.7024501576467764,-0.1346560972085788,0.2341683546387137,102,0.038283082791062406,1.0,False
vein_n_edges,0.036194184222075536,0.7179824154946329,-0.14560011509313356,0.2242994186774784,102,0.036194184222075536,1.0,False
vein_diam_sd,-0.02956995224441408,0.7679741930243481,-0.22061189140496945,0.16007773671874226,102,0.02956995224441408,1.0,False
vein_n_nodes,0.027328083414298408,0.7851226914732061,-0.16761710835362503,0.2182474717851376,102,0.027328083414298408,1.0,False
artery_total_vol_proxy_mm3,-0.027176517533471264,0.7862858667539787,-0.21524373595791588,0.16082512078397718,102,0.027176517533471264,1.0,False
artery_diam_p25,-0.025309656749390928,0.8006506682121238,-0.2239823990384404,0.18331250924819234,102,0.025309656749390928,1.0,False
artery_tort_p75,0.018247817831656216,0.8555531176723189,-0.20014241672358038,0.25019675107891876,102,0.018247817831656216,1.0,False
vein_total_vol_proxy_mm3,-0.017167094356975186,0.8640233107213915,-0.1944544048308199,0.18753404939155435,102,0.017167094356975186,1.0,False
vein_tort_sd,-0.012974339934259756,0.897021443800849,-0.20491629879018328,0.1789409820278095,102,0.012974339934259756,1.0,False
